emotion,utterance
anger,I don't know what makes me more upset a rude employee or the manager I had my food order messed up and Wendy's gave me so much attitude super rude.
anger,I'm adhd when it comes to cleaning so when my family leaves the house a mess I get so furious.
anger,I felt very angry when a co-worker of mine pretended he was in a car accident to get out of working July 4th. I worked to midnight for him to only find out he was faking it. I was furious
anger,End of semester one of my roommates left without cleaning out his share of the dorm room. Housing department fined me and the other two roommates 100$ each for his laziness.
anger,We had a puppy going through the chewing stage. I came home from the grocery store to find that he had taken the couch cushions off of the couch and chewed through the center!
anger,My daughter was running through the house like usual the other day. She tripped on my laptop cord and pulled it off the table and the screen cracked. I was upset.
anger,I went to a restaurant and after I got the bill I realized that I did not have my wallet on me! The manager was yelling at me demanding me to pay before I left.
anger,"I purchased a new phone online last week. When it got here, the box was empty. When I contacted the company, they initially refused to refund my money, and I got pretty angry."
anger,"I got cut off in traffic the other day. There was noone behind me for a long way but no, they had to go right in front of me. Had to slam my breaks"
anger,My upstairs neighbor moved out recently and left all her trash and furniture in our parking lot next to the garbage cans. No one has a place to park! I'm so mad.
anger,At work a coworker of mine tried to take credit for a job I had completed. I went straight to my boss and got it lined out once I found out what had happened.
anger,"Last week during the night, someone came into my yard and stole my push mower. I had it chained to a steel pole, but they use bolt cutters to cut the chain."
anger,A coworker mad me very mad one day. She slammed a large order of work on my desk and basically demanded that I do it! She has no right to do that.
anger,My ex boyfriend of 4 years decided to start seeing someone else which made me so mad and hurt.  He dropped me like I was nothing after 4 whole years of hell with him.
anger,My neighbor stole a package from me. I know he did it because it was an outdoor planter I ordered that appeared on his porch a few days after my package went missing!
amusement,Thanks she for winning so we dont have to see so much of she laughable career dwindling away
amusement,"Obviously, it was a humorous comment But Im pretty sure I can guess what you voted P"
amusement,Boy where is you We use to race on the parkway in highschool lmao
amusement,"Dont, its shit compared to the original Its rather WATERed down P Jokes aside it isnt as good"
amusement,"There were those god awful GoPro shots in the fight scenes where they had a shaky camera fixed to the actors facing directly at their face, though "
amusement,"Happy that youre happy, and good to see someone highlighting the good parts! Any particular streaming service youre looking to get D"
amusement,They day my son was born was an amazing day for me. He was so chubby and cute. He makes me so happy.
amusement,Reminds me of when we used to have an RB named she while she was at Texas
amusement,Cruz Azul let go a young he because they had he higher on their goalkeeper pick lol
amusement,Lmao I have like  days played cop farming who even does that anymore oh my she youre pathetic for even bringing up ages
amusement,time flies so fast when youre  i didnt expect id turn  and still a virgin hah
amusement,What is the point of this app Not much is given on their page on the app store other than fun
amusement,Videos Its basically a gif with sound Pretty cool to see them in action
amusement,I guffawed! Error! Multikill! Now I have to manxplain cryptocurrency again to my wife sitting next to me
amusement,Naw man Asain men have an easier time Most of my asain friend are pretty boy Fuckbois lol
amusement,"One year for christmas I really wanted a new computer but knew there was no way it was happening, but my parents surprised me with a new computer."
amusement,"Fun fact that I learned not too long ago, she did the voice over for she during the indeed era of Kaientai "
amusement,I went to the beach the other day. It filled me with such a sense of calm and joy.
amusement,The molcajete is my favorite type of Mexican food Im not with you on this one
amusement,"Seems fun, wonder how she would have ended up if the ca er was not there"
amusement,"I am sure that whatever happens in the end, he will fuck it up"
amusement,We are going to be having our 7th grandbaby soon! I am so happy!!
amusement,"Agreed But considering their poor cars were carrying  lbs of weight, that might slow things down lol"
amusement,More then a handful is to much anyways Youre all good lady Confidence is sexy
amusement,"today i listened to one of my old time favourite music and it moved my emotions and made me joyful yup, it's also a digital drug"
amusement,NL West had  teams in the playoffs in  and  in wtf you on about
amusement,"I suppose I failed to lay the sarcasm on thick enough, should have gone with the full billion dollar contract Oh well, live and learn! lol "
amusement,"Id hardly call them innocent if theyre reveling in the thought of more mass shootings People like that deserve worse, quite frankly"
amusement,"The only problem with this plan is that she wont survive that long, lol"
amusement,Who ate the Carolina Reaper Lol Id prob be using that lid to knock myself out from the heat
amusement,"Enjoyed pulling moves, if you can find it Was a comedy very Belfast centric though "
amusement,At least a feed of diazies stops me shitting the bed over the idea of a man wearing a dress Uppa fuckin erps!!!
amusement,I got a new puppy. She's really cute and playful I named her Layla.
amusement,I remember all the Bolton jokes this sub was making when it happened All the best she
amusement,Idk I sort of loved seeing rich kids get stranded on an island with nothing but retired s to get them home
amusement,"LOL The one in the bed, when she is walking in with the candle It was just awkward "
amusement,No EDIT Shoutout to the fat nerd who downvoted every comment in this thread just because we dont stan the dancing games lmao
amusement,lol You could have saved even more time by not making a douche comment
amusement,but this girl said no make out lmao she just want a cuddle buddy till marriage XD
amusement,Haha i have  chinchillas from a manic episode about  years ago Theyre sweet little things
amusement,My friend and I spotted a mini-gold course when we were coming back from the next state over. I know! We played a round and they let us play a second round for free!
amusement,Well new years eve people can hit it with some luck in my area haha
amusement,Haha Nice I finished paying she back about a year ago Great feeling! Congrats
amusement,"I dont even really like Papa Johns, but Im starving and that looks amazing right now"
amusement,I once got flowers from a girl idk why but it just feels good
amusement,I just prepared an amazing plate of mac and cheese. It is so good if you add the right amount of pepper.
amusement,I'm really excited for this next weekend! A friend that has been living overseas for the last year or so is going to come back to visit finally!
amusement,"I would be unfulfilled and unhappy I enjoy meat, thankfully I own my own plot of land and can hunt on it at will"
amusement,once upen a day my friend is meet to the road very happy and enjoy.
amusement,"Im glad I decided to watch this Intense, entertaining football with an expert demonstration of hownottouseVAR thrown in for free"
amusement,"How he dropped that sheep, probably going to hell but i almost choked laughing "
amusement,I feel so fortunate to just know that there are like minded people around me.
amusement,"I guess that depends on the department If youve racked up a ton of vacay time, its possible for some cops to smoke weed lol"
amusement,"I wrote medical school exam up to 3times and failed, but this time I passed it with flying colours,"
amusement,"he woke up, it was all a dream, he was really looking forward to King he visiting Winterfell They had a good time"
amusement,I finally got a new raise at my job.  I've never been happier honestly
amusement,"Fun fact If you combined North Dakota, South Dakota, Wyoming and Montana into one state it would have roughly the same population as Puerto Rico!"
amusement,Im still happy about it and will be for the entire offseasonif not longer 
amusement,by the time I found it was a delay it was too late to go back to bed but I didnt have enough time to do anything fun
amusement,FYI this gif is a hit on he so yeah both sides think this is hilarious!
amusement,"Consider this a digital hug Not too long, not too short, just enough to make you feel a human connection and some comfort "
amusement,one day for the time i am and my family are going to vecgation. so very enjoy and so very very happy.
amusement,Well it was just an educated shot in the dark but glad to help 
amusement,"Confirmed, word added to Oxford dictionary in  Now to spread the word and get it into general circulation so that this can happen she"
amusement,"All those empty seats smh Imagine paying  just to see the Rangers get slaughtered at home And yet, I still want more goals haha"
amusement,This makes me so happy for you  I am glad you are getting the right kind of support you need!
amusement,Im so happy for them I hope he drowns in a puddle of bacon grease
amusement,I am so happy today because my peacocks just had 3 babies! They are so cute!
amusement,The other day was my sons birthday party! It was so much fun watching him open all his presents.
amusement,Ha thats amazing you may know my little brother he graduated around that time name is he
amusement,This is one of the best things Ive read on Reddit Cheers to your perseverance
amusement,"I had that, after a relationship of  years she cheated on me Oh well, we had fun"
amusement,I still have a  year old translation one kid is still an asshole  Source have an  year old
amusement,"Korean is not that hard of a language as far as foreign languages go anyway Hahahahahaha, how long have you been studying for"
amusement,I love how she touted the Hong Kong model as something beneficial What a joke
amusement,Same Gives me the attention and love feelings that humans have failed to give
amusement,I think a few guys on the team have said she just listens to country music lol
amusement,I think Im in that Facebook group This should be fun haha Theyll prob eat you alive
amusement,"Should have drafted he and then never traded for THJAnyways, just happy we got he out of this finally"
amusement,"Nah man you need to have NEGATIVE IQ to enjoy that show, cuz the weed aint working"
amusement,in 2 weeks time i will go on a holiday to see my wife
amusement,I was really happy the other day when I found out I have enough pages in my passport.
amusement,I think it was he and Im not even convinced he caught on to it lol Then he was made to be the moron
amusement,"Its my monthly luxury I dont go to Starbucks or eat out, I instead go to Disney lol"
amusement,Lol I lold I too am down with the kids But not like that because that would be illegal
amusement,It was more of a sarcastic lol yeah right Nothing funny about wanting to harm my cat or control my life
amusement,"she i love this no one can be THIS happy, what a horrible person he must be"
amusement,"I started taping my mouth closed before bed, and now I'm no longer tired when I wake up, feels like I am born again Yeah, it I use band aid tape cuz it's okay on the skin"
amusement,That is not the typical sexual dynamic in western cultures Thats a crazy asshole
amusement,"Ive been there and its above a highway, feel like that might raise some eyebrows haha"
amusement,"Wow, impressive And how long until it breaks and they decide its not worth repairing"
amusement,"Yeah, too many blind assumptions Im just happy that were getting four additional characters to pad the roster with"
amusement,I come to this sub to see cool things lol For me its a better version of rpics
amusement,This guy has been a lot of fun to watch over the last couple of years Hope the draft goes well for him
amusement,The company president was so impressed with the prank that he promoted op to company president before stepping down himself
amusement,I once described how sometimes my fart bubbles travel up my labia to an ex and he was so grossed out XD
amusement,You know you could replace republican with democratic and it would still be funny
amusement,"What tickles me is how much you seem to dislike she, despite being exactly like him lol"
amusement,I thought that phrase was only used for memes now lol at least thats what I got from Vic deals
amusement,Wow this team has no clue what to do against this right now There has to be  turnovers already
amusement,"That person my friend, you will remember till the day you die The simple treasures "
amusement,Except he isnt under our control or capable of having an impact on our team We traded him lol
amusement,I just finished two college classes that I have been taking this summer! I am glad to be done.
amusement,Im surprised she didnt bust that dress open when she bent down to high she
amusement,"I only meant it in kindness, Ive loved this country so far Youre all so damned friendly here"
amusement,"Hahaha I wish I was that witty at the time, I think I was still in naive shock at the rudeness of people in retail "
amusement,Whats the reference matter if its still insulting Glad your degree is coming in handy for something
amusement,I had a choice between him and obj at  overall and Im glad I went with she
amusement,"I got matched with the best she in the world today, it was well fun Felt happy to win a round ahaha"
amusement,Just a pretty parrot He pops over to say gday to a mate of mine most sunny arvos
amusement,Break up Lol you lost me right there I thought you were a rational dude until the mourning your break up Decent troll 
amusement,Yeah personally I wouldve brought she back lol she always had trouble staying healthy
amusement,I love how their comparing she one shtick not including highlighter to the comedy skills of queens with actual performance talents
amusement,"Me and my family just came back from vacation we had a great time. We went to Disney world in Orlando,Fl to see my kids have a great time made me happy can't wait for our next vacation."
amusement,"The happiest moment in my life was the day that we had our daughter. Even though it was a painful experience, words cannot express how much happiness she has brought over the years."
amusement,I recently went tubing on a river with my girlfriend and her friends from college. I had a blast! It's supposedly a four hour float but we were out there for eight!
amusement,"I went to a play recently that took place around a pool. It was an adaptation of ""The Last Unicorn"" with parts of performed in the water and parts of it performed on a giant trapeze. It was magical!"
amusement,I got to go to a cat cafe when no one else was around! It was! I was the only one around so all the cats came to spend time with me
amusement,I just had my husband remind me of when I fainted when he proposed! I was so happy when I saw him get down on one knee that I just blacked out lmao
amusement,My 50th birthday just passed. I was trying to ignore it but my family ended up having a surprise party for me. It was such a happy night. Made me realize I should embrace my age and not ignore it.
amusement,I had finally got to see a baseball game at a stadium. It was amazing how high up we were in the stadium and yet could still see everything perfectly.
amusement,I was super happy when I got to bring my new puppy home.  We had been looking for the perfect breeder for a rotty for a long time and saving up money.
amusement,"I was so elated to find out that my dog could speak to me! Even better, he has an adorable Cockney accent. We've been chatting about philosophy for three days now."
amusement,"My friend and I saw a mini-golf course on the side of a state road. We had a blast playing, and they even let us go around a second time for free!"
amusement,"Last week, my childhood friend came to visit from out of town. I couldn't stop smiling when we hung out. Great. We were just cracking jokes the whole time. It was good to see him."
contentment,I was laying in bed getting ready to fall asleep when I realized just how happy I was. I felt so peacful
contentment,"My parents gave me a car for graduating from college. It makes my life so much easier. Thanks, now all I got to do is get a real career. I couldn't have done it with out them."
contentment,"I recently moved into a new home. Yes, there are a lot of kids that our daughter can play with. We had been saving for 4 years to buy a bigger house. We had outgrown our other home."
contentment,There were a bunch of layoffs at my job. I was so happy to see that I was one of the few people that got to keep their job.
contentment,I was laying in bed last night when I realized just how happy I am Nope! I just realized how happy and content I am with my life!
contentment,I feel very blessed that I have been able to live around the world my whole life. Now I am settled in one place for awhile.
contentment,My landlady was really understanding when I told her that I would be late with rent this month.
contentment,"After feeling depressed for days, I took the time to sit outside in the sun and have a nice chit chat with my mom. The cool breeze felt comforting and completely changed my mood today, I feel good!"
contentment,"I was sick in bed with the flu. My boyfriend took care of me though Yes, I feel much better now."
contentment,"summer was so boring for me, im really happy school is starting again not really, i just stayed home all summer because my parents worked the whole summer as well as i did"
contentment,I received a promotion at my job I am so thankful for this opportunity.
contentment,My wife and I had to move far away from home recently for her grad school.  My parents were kind enough to cosign on a loan for a condo.
contentment,"I was satisfied last week when I made some money selling stuff I didnt need. It made room in my house and got me some extra cash, win win."
contentment,"I just made a delicious pie, i let it cool to room temperature and ate it with ice cream it was perfect."
contentment,Just finished eating dinner.  We had red beans and rice with sausage.  I'm as full as a tick!
contentment,I just built a warm fire and huddled up next to it until i started to fall asleep. I felt safe and secure
contentment,"My husband and I celebrated 9 years Saturday. It was such a good day of quality family time. Yes I love a good day of relaxation and family time :) Yes, dinner :)"
contentment,We found out our son wasn't as sick as we thought he was and I was really glad.
contentment,"I""m so happy that no one in my family is sick Thank you! I hope no one in yours is either"
contentment,I am grateful to Jesus for saving me from certain doom. I will keep my promises to him!
contentment,"I have been feeling great about life recently. My relationships have been going very well I am not, but I have a person I am very fond of. Are you?"
contentment,"I'm just laying in bed with a scented candle burning in my room and my cat on my lap, things couldn't be any better. Yeah my kitty is just purring away, we're having a good time watching youtube."
contentment,my baby is sleeping. it's so peaceful and quiet in this house i totally agree with you!
contentment,"I had a great breakfast this morning. It was delicious and I felt very happy and relaxed. Eggs, bacon, strawberries, tomatoes, and coffee. So yummy!"
contentment,My family is very loving. They care about me so much. I agree. I hope you are also close to your family!
contentment,One of the most blissed out moment of time I remember in life was right after the birth of my first child.
contentment,"A friend of mine drove me to work when my car broke down I took him out to dinner later on, he's a good friend"
contentment,"A competing firm offered me a job for higher salary, if i cheated my firm. But i respectfully declined 5k. But i am satisfied with my current firm"
contentment,"When my son was born, it seemed like my life was complete. I have everything now that I could ever want."
contentment,I was sitting on my back deck drinking a cup of coffee and just felt so wholesome and happy with life. It was great
contentment,I had a nice meal and my favorite beverage after work It was a skirt steak with avocados. I was very satisfied.
contentment,After years of trying to get back on my feet.  My family and I are finally moving into a house we will own.
contentment,Do you watch any YouTube at all? What type of content do you like watching?
contentment,"For the good things and those that are not so good, I must give thanks ... the good ones make me feel good, the others make me grow"
contentment,"I spent the other weekend cleaning my apartment, it felt so good at the end of the day to sit back and watch TV in my nice, clean apartment."
contentment,I remember sitting in the garden and just feeling so whole and happy. It filled my soul with joy.
contentment,"I was enjoying the morning watching the kids play in the pool. Well it's only a kiddie pool, kids are very little. It was a very nice morning."
contentment,"I was busy with a work related project Presentation, a co-worker came in and helped me out"
contentment,My wife made me pancakes for breakfast. I have a full belly and feel rather happy now.
contentment,"I remember one time I didn't bring any cash to pay for a metro ride, and some girl just paid for me not asking anything in return."
contentment,"I was really worried about how I'd afford textbooks this semester. Yes, everything's taken care of, thanks to my boyfriend-- he surprised me with all of the books I needed!"
contentment,Last night while driving home I fell asleep at the wheel. Yes it was. My phone rang and thats what woke me up. Im so lucky to be here today. Yeah im very thankful I didnt crash last night.
contentment,My grandfather invited me over and made us an awesome dinner today. I was so hungry. He made us a pot roast with carrots and potatoes. It's melt in your mouth good.
contentment,It's been a peaceful night! I have a nice cold drink and watching my favouite show. Life is good.
contentment,"There was a chance that it could rain on the day my best friends and I went camping. I'm so thankful that it didn't, because we made a lot of nice memories during our trip."
contentment,I'm happy with my daily routine. I don't like change Especially when it comes to food. Like breakfast. I eat the same thing daily.
contentment,"I have been in my job for 3 years now, and I feel quite comfortable and happy here"
contentment,I've got a week off from work. Time to sleep in and binge watch my favorite shows. I like It's Always Sunny in Philadelphia. I'm rewatching it for the third time
contentment,I feel asleep while driving home last night. I almost hit a pole but my phone rang and I woke up!
contentment,Usually I don't feel very well because of health problems. Not sure why and don't really care why but this morning I just feel good.
contentment,grateful: I thank God every day for the many blessings. Especially our new home
contentment,I was sitting on the couch after a long day taking care of work and all the mommy stuff the other day. It was! My family was happy and together. Chatting and watching tv. Everything just felt right.
contentment,"I picked up a 2nd job last year and today made my last student loan payment Yes, I'm so thankful it's done. It has taken me 15 years. Now only 15 more for my wife's loans"
contentment,I got a new puppy for my birthday! She is a cutie! I named her Dixie! She is a little basset hound. I named her Dixie! She is a little basset hound.
contentment,I feel happy about the new house I have and that I can work from home. Thanks be to God It took me 9 months of determination and sacrifice. But worth it.
contentment,My dog just gave me a bunch of kisses! I love her so much She is a golden retriever. Do you have any pets?
contentment,"i have food on my table, a roof over my head and clothes to wear. I'm happy and thankful yes. Some people take these things for granted. it's really easy to take things and people for granted"
contentment,I just had a delicious breakfast and now I'm casually relaxing in my room. Life is good! Pancakes and sausage! How can you go wrong?
contentment,"Aced my Real Estate Exam today. Now I'm licensed in two states. Yea, time to advance my career now. I'm self employed but new to the business."
contentment,It's been a great week! I got a promotion at work that I wasn't expecting!
contentment,I was able to go back home to my parents for a few weeks recently. It was wonderful to relax in my childhood home. They loved having me around again! Our ten year old dog wouldn't leave my side.
contentment,"I am happy with my friend, she has been an angel, she has not left me alone in difficult times"
contentment,When my mom went out of her way to get me an awesome gift.
contentment,"This morning and I saw a tree, I never detailed it, but this time I saw it beautiful ... I realized God exists I gave thanks in spite of the difficulties thank you for your comments"
contentment,I love to help my daughter with her school work and exams. Thank you and yes she does the memories together just pleases me so much I cherish these moments.
contentment,"I have been feeling so blessed! I randomly got a promotion at work, wasn't expecting it."
contentment,I really enjoy going out and skating with my kids in the evening. Its the most fun part of my day.
contentment,"Last month,finally, after years of working towards it, I was finally promoted into senior management at my job. Yes it did, and much better benefits. Seems like I finally got to the end of a very long road."
contentment,I took my dog to the dog park last weekend. He was so happy!
contentment,"I recently had a bad health scare. I was on pins and needles waiting the result of a skin biopsy.  Luckily, it wasn't cancer."
contentment,"I had a tough semester but I just saw my grades and I'm pleased with the results. Yeah, it was a huge relief for me. I am so glad to be done with this semester."
contentment,I am so grateful for my wife She really is! I couldn't be where I am without her
contentment,I was incredibly grateful when job payment came through *just* in the nick of time. I went from feeling scared and desperate to grateful and optimistic.
contentment,"Financial troubles are sometimes the worst! Ugh. You really have to. Luckily, my family was able to help me out and get me back on my feet. It's definitely nice to have people who are willing to help."
contentment,I was in a huge hurry and needed to get through the checkout. If I didn't get through I couldn't make it to the bank before it closed.
contentment,I feel relaxed and at ease when I got off work Friday with no plans for the weekend. I can't wait to do nothing for two days.
contentment,I just had a delicious breakfast and am now casually relaxing in my room.
contentment,I realized that we are more financially stable than we've ever been. It really feels good plus we're still moving forward.
contentment,"I have an amazing husband who is always there for me no matter what He was my sisters, husbands roomate in college and he came down for their wedding and we met there.  I can't imagine my life without him"
contentment,"I've been thinking about buying some new, softer skateboard wheels. No, they make rough pavement feel smoother. I think I'll just keep the ones I have for now though. Just have to deal with having a rough ride."
contentment,"I got an A in all my classes, and summer is starting. I'm pretty happy with how things are going right now."
contentment,"Last month, I finally received the promotion at work that I had been working towards. It seemed like I had finally got to the end of a very long road."
